Resume,Job Description,Similarity Score
"Software Engineer skilled in c++, java, oop, python.","Business Analyst skilled in requirements gathering, uml, data analysis, sql.",0.680347
"Cybersecurity Analyst skilled in encryption, network security, linux, python.","Database Administrator skilled in backup, performance tuning, oracle, sql.",0.670379
"Machine Learning Engineer skilled in pytorch, model deployment, python, tensorflow.","Data Engineer skilled in spark, airflow, etl, hadoop.",0.668646
"Machine Learning Engineer skilled in tensorflow, python, pytorch, model deployment.","Frontend Developer skilled in react, javascript, html, css.",0.557109
"System Administrator skilled in networking, bash scripting, vmware, linux.","Full Stack Developer skilled in python, javascript, react, node.js.",0.697778
"UX Designer skilled in prototyping, figma, user research, wireframing.","Cloud Engineer skilled in azure, aws, terraform, cloud computing.",0.68636
"Machine Learning Engineer skilled in model deployment, tensorflow, pytorch, python.","Backend Developer skilled in sql, python, node.js, rest api.",0.624255
"AI Engineer skilled in deep learning, tensorflow, python, nlp.","Cloud Engineer skilled in cloud computing, aws, azure, terraform.",0.635364
"DevOps Engineer skilled in docker, kubernetes, ci/cd, aws.","Data Scientist skilled in machine learning, statistics, sql, python.",0.684668
"Business Analyst skilled in requirements gathering, data analysis, uml, sql.","Software Engineer skilled in c++, java, python, oop.",0.563584
"IT Support Specialist skilled in helpdesk, windows, vpn, troubleshooting.","Database Administrator skilled in backup, sql, oracle, performance tuning.",0.602087
"UX Designer skilled in user research, figma, prototyping, wireframing.","Backend Developer skilled in python, rest api, sql, node.js.",0.590565
"Full Stack Developer skilled in javascript, node.js, react, python.","Cybersecurity Analyst skilled in linux, python, encryption, network security.",0.605319
"Data Engineer skilled in spark, airflow, hadoop, etl.","System Administrator skilled in networking, vmware, linux, bash scripting.",0.696722
"Cloud Engineer skilled in cloud computing, aws, azure, terraform.","Business Analyst skilled in data analysis, uml, sql, requirements gathering.",0.665488
"Data Engineer skilled in hadoop, airflow, spark, etl.","Frontend Developer skilled in react, javascript, css, html.",0.562183
"Business Analyst skilled in uml, sql, requirements gathering, data analysis.","DevOps Engineer skilled in kubernetes, aws, ci/cd, docker.",0.584785
"Data Scientist skilled in python, machine learning, statistics, sql.","Product Manager skilled in data analysis, scrum, agile, roadmap planning.",0.725163
"DevOps Engineer skilled in kubernetes, ci/cd, aws, docker.","QA Engineer skilled in python, test planning, selenium, automation testing.",0.659355
"Database Administrator skilled in performance tuning, oracle, backup, sql.","Data Scientist skilled in python, statistics, sql, machine learning.",0.654999
"UX Designer skilled in wireframing, figma, user research, prototyping.","Machine Learning Engineer skilled in tensorflow, model deployment, pytorch, python.",0.663904
"Backend Developer skilled in node.js, sql, rest api, python.","Software Engineer skilled in c++, python, java, oop.",0.620649
"Machine Learning Engineer skilled in pytorch, tensorflow, model deployment, python.","UX Designer skilled in prototyping, user research, figma, wireframing.",0.692206
